년월,체결수량(REC),평균가격(원)
Mar-14,17096,120667
Apr-14,10057,98364
May-14,64366,86949
Jun-14,48860,95955
Jul-14,28081,86679
Aug-14,39125,82284
Sep-14,29959,90428
Oct-14,93036,86979
Nov-14,57517,88250
Dec-14,87555,88824
Jan-15,245042,89137
Feb-15,93481,92844
Mar-15,78811,89466
Apr-15,141153,94053
May-15,138100,91607
Jun-15,188911,93878
Jul-15,129646,94468
Aug-15,209829,93165
Sep-15,79957,92648
Oct-15,162585,91480
Nov-15,174267,89801
Dec-15,290530,94149
Jan-16,257786,109793
Feb-16,208132,159250
Mar-16,26777,99995
Apr-16,165542,105856
May-16,170621,122319
Jun-16,180759,119086
Jul-16,386582,128028
Aug-16,206608,139908
Sep-16,370675,149907
Oct-16,261791,169074
Nov-16,103147,147567
Dec-16,285407,167272
Jan-17,123736,159698
Feb-17,122701,145963
Mar-17,14081,119449
Apr-17,117528,125319
May-17,215704,131387
Jun-17,301811,130375
Jul-17,168694,127630
Aug-17,237024,127177
Sep-17,355005,127457
Oct-17,498509,127858
Nov-17,184523,124195
Dec-17,634936,107275
Jan-18,268383,112356
Feb-18,350372,110274
Mar-18,110434,101940
Apr-18,134643,108878
May-18,169594,109139
Jun-18,94631,107559
Jul-18,116365,104018
Aug-18,169810,97149
Sep-18,130777,90317
Oct-18,286658,81636
Nov-18,192823,76691
Dec-18,657318,77978
Jan-19,101334,74804
Feb-19,89532,70714
Mar-19,136746,74337
Apr-19,108706,68595
May-19,116105,69782
Jun-19,135658,68600
Jul-19,149756,64406
Aug-19,206183,58046
Sep-19,149349,56237
Oct-19,149545,48295
Nov-19,139787,44272
Dec-19,135140,48383
Jan-20,127613,44329
Feb-20,89445,42078
Mar-20,139793,43281
Apr-20,88991,44369
May-20,147128,44488
Jun-20,162050,44272
Jul-20,73856,44784
Aug-20,118719,46179
Sep-20,64988,47029
Oct-20,126642,40409
Nov-20,87549,33351
Dec-20,46366,33309
Jan-21,29283,39352
Feb-21,70717,39505
Mar-21,63374,38827
Apr-21,0,0
May-21,0,0
Jun-21,0,0
Jul-21,0,0
Aug-21,0,0
Sep-21,0,0
Oct-21,0,0
Nov-21,0,0
Dec-21,0,0
Jan-22,0,0
Feb-22,0,0
Mar-22,372607,51609
Apr-22,479514,52733
May-22,575542,53100
Jun-22,279019,54560
Jul-22,317052,56523
Aug-22,532931,62541
Sep-22,23190,63735
Oct-22,0,0
Nov-22,0,0
Dec-22,0,0
Jan-23,,
Feb-23,76466,63424
Mar-23,488380,68417
Apr-23,50133,71944
May-23,0,0
Jun-23,219554,72860
Jul-23,149924,73190
Aug-23,13597,74125
Sep-23,0,0
Oct-23,559,77771
Nov-23,0,0
Dec-23,0,0
Jan-24,0,0
Feb-24,0,0
Mar-24,0,0
Apr-24,0,0
May-24,0,0
Jun-24,10850,74977
Jul-24,99985,75875
Aug-24,281047,79448
Sep-24,408231,79185
Oct-24,0,0
Nov-24,0,0
Dec-24,0,0
Jan-25,0,0
Feb-25,0,0
Mar-25,0,0
Apr-25,0,0
May-25,0,0
Jun-25,0,0
