거래일자,태양광_발전량_합계(MWh)
2024-01-01,17903.40539
2024-01-02,11607.09804
2024-01-03,14134.69284
2024-01-04,26152.34033
2024-01-05,16610.8161
2024-01-06,29445.41646
2024-01-07,23786.29545
2024-01-08,31368.23786
2024-01-09,5742.325446
2024-01-10,21402.60586
2024-01-11,21278.31475
2024-01-12,28029.39528
2024-01-13,32007.95727
2024-01-14,19345.20734
2024-01-15,33026.81568
2024-01-16,27742.90905
2024-01-17,5699.820973
2024-01-18,7738.190742
2024-01-19,8461.019776
2024-01-20,3016.807279
2024-01-21,11173.61469
2024-01-22,15723.30459
2024-01-23,15790.43081
2024-01-24,22221.1753
2024-01-25,29805.99812
2024-01-26,27185.44054
2024-01-27,31244.71766
2024-01-28,28247.4137
2024-01-29,33326.0548
2024-01-30,29039.96444
2024-01-31,26204.82819
2024-02-01,10527.23921
2024-02-02,23145.1994
2024-02-03,9019.576201
2024-02-04,17208.47654
2024-02-05,6726.620461
2024-02-06,11904.68816
2024-02-07,26056.58815
2024-02-08,32604.19871
2024-02-09,33800.47252
2024-02-10,27234.46733
2024-02-11,28281.43333
2024-02-12,39037.01161
2024-02-13,35099.76113
2024-02-14,16265.79478
2024-02-15,8197.276593
2024-02-16,38397.55972
2024-02-17,39645.90236
2024-02-18,9058.30402
2024-02-19,6866.879296
2024-02-20,3313.943032
2024-02-21,3483.018727
2024-02-22,4208.958801
2024-02-23,12192.75998
2024-02-24,14761.20838
2024-02-25,12552.8099
2024-02-26,35938.19485
2024-02-27,29678.43242
2024-02-28,32213.47926
2024-02-29,8529.089039
2024-03-01,40769.87396
2024-03-02,41777.19217
2024-03-03,26316.27243
2024-03-04,28401.73281
2024-03-05,5023.905746
2024-03-06,30697.21318
2024-03-07,29245.1683
2024-03-08,45506.43758
2024-03-09,47743.98302
2024-03-10,47082.19129
2024-03-11,19127.67236
2024-03-12,16714.85641
2024-03-13,48260.01356
2024-03-14,43954.98133
2024-03-15,47892.5688
2024-03-16,39937.74431
2024-03-17,33604.33892
2024-03-18,47218.40148
2024-03-19,28902.01036
2024-03-20,44671.40905
2024-03-21,49892.72282
2024-03-22,30932.73428
2024-03-23,41439.34488
2024-03-24,18399.17501
2024-03-25,7554.268677
2024-03-26,23847.98699
2024-03-27,35892.22066
2024-03-28,5238.561186
2024-03-29,23879.21899
2024-03-30,33432.51247
2024-03-31,39967.53775
2024-04-01,50078.99281
2024-04-02,31432.38916
2024-04-03,7222.963757
2024-04-04,16888.12972
2024-04-05,39968.59427
2024-04-06,30138.04293
2024-04-07,45609.41019
2024-04-08,24399.9443
2024-04-09,46194.19417
2024-04-10,43924.91326
2024-04-11,29388.33129
2024-04-12,45992.50544
2024-04-13,50233.75244
2024-04-14,43954.9454
2024-04-15,9709.664
2024-04-16,34529.11453
2024-04-17,44236.02951
2024-04-18,51036.95133
2024-04-19,47345.93296
2024-04-20,7525.541889
2024-04-21,10724.35216
2024-04-22,23445.38327
2024-04-23,31767.66744
2024-04-24,34062.23613
2024-04-25,50383.40594
2024-04-26,38117.40539
2024-04-27,53496.04187
2024-04-28,45685.85076
2024-04-29,13235.41861
2024-04-30,31786.8914
2024-05-01,30893.32713
2024-05-02,51461.20407
2024-05-03,54153.95737
2024-05-04,46236.72324
2024-05-05,5384.388447
2024-05-06,19100.52374
2024-05-07,18112.78312
2024-05-08,44466.19547
2024-05-09,53604.99008
2024-05-10,53815.01623
2024-05-11,27062.27454
2024-05-12,45677.3845
2024-05-13,55357.27353
2024-05-14,54929.19658
2024-05-15,36064.17626
2024-05-16,54795.28329
2024-05-17,49785.03927
2024-05-18,53099.93639
2024-05-19,52998.31013
2024-05-20,43008.73081
2024-05-21,44715.65869
2024-05-22,45689.38343
2024-05-23,51010.71783
2024-05-24,45603.70902
2024-05-25,39305.41453
2024-05-26,24024.04694
2024-05-27,44730.13013
2024-05-28,49996.83003
2024-05-29,53168.08299
2024-05-30,28541.57313
2024-05-31,51767.60429
2024-06-01,45992.57796
2024-06-02,47249.80835
2024-06-03,49871.591
2024-06-04,51699.74181
2024-06-05,43292.3814
2024-06-06,39685.23756
2024-06-07,37623.06582
2024-06-08,17260.03522
2024-06-09,42466.33754
2024-06-10,49080.47351
2024-06-11,47578.83336
2024-06-12,49754.73559
2024-06-13,51257.58051
2024-06-14,45627.16044
2024-06-15,38311.36713
2024-06-16,49417.07734
2024-06-17,32748.54163
2024-06-18,52758.71437
2024-06-19,46683.28915
2024-06-20,24230.20355
2024-06-21,42510.19967
2024-06-22,5792.088044
2024-06-23,25553.06252
2024-06-24,33888.31555
2024-06-25,40537.703
2024-06-26,48962.06092
2024-06-27,22922.09553
2024-06-28,49221.80265
2024-06-29,19242.05535
2024-06-30,13512.81936
2024-07-01,39822.1908
2024-07-02,13833.23293
2024-07-03,34398.89038
2024-07-04,41810.84516
2024-07-05,40499.81015
2024-07-06,28021.21703
2024-07-07,14254.13863
2024-07-08,8294.798665
2024-07-09,10901.32612
2024-07-10,26235.46077
2024-07-11,24229.95089
2024-07-12,37476.62927
2024-07-13,35036.48644
2024-07-14,22811.75699
2024-07-15,29683.23336
2024-07-16,14517.60516
2024-07-17,22617.00216
2024-07-18,11069.26131
2024-07-19,24809.58614
2024-07-20,26344.65379
2024-07-21,34958.26902
2024-07-22,30810.67161
2024-07-23,21202.21309
2024-07-24,36950.73963
2024-07-25,39313.91142
2024-07-26,28781.49597
2024-07-27,32093.75935
2024-07-28,43543.53746
2024-07-29,37277.3363
2024-07-30,39331.33891
2024-07-31,43444.33306
2024-08-01,39002.85409
2024-08-02,36513.59445
2024-08-03,41765.69133
2024-08-04,42004.46064
2024-08-05,34389.23326
2024-08-06,40867.61527
2024-08-07,42310.71484
2024-08-08,30070.37398
2024-08-09,44601.53557
2024-08-10,41977.29048
2024-08-11,43729.5276
2024-08-12,43959.05937
2024-08-13,40871.80675
2024-08-14,42693.13629
2024-08-15,37154.09581
2024-08-16,35208.96296
2024-08-17,35597.34043
2024-08-18,40338.70071
2024-08-19,42387.58779
2024-08-20,31265.532
2024-08-21,24039.13548
2024-08-22,24985.95428
2024-08-23,38941.69854
2024-08-24,39480.15499
2024-08-25,38135.94008
2024-08-26,32239.72068
2024-08-27,19736.39491
2024-08-28,39939.81509
2024-08-29,41690.22216
2024-08-30,45728.68495
2024-08-31,45965.52532
2024-09-01,42414.26602
2024-09-02,20520.32036
2024-09-03,35170.57831
2024-09-04,46727.33015
2024-09-05,38633.13937
2024-09-06,18256.31574
2024-09-07,28299.01842
2024-09-08,41626.86752
2024-09-09,39358.96506
2024-09-10,42631.34968
2024-09-11,23500.64832
2024-09-12,24510.69209
2024-09-13,34669.72836
2024-09-14,38096.31065
2024-09-15,35450.5123
2024-09-16,21409.35224
2024-09-17,35877.47802
2024-09-18,34757.39677
2024-09-19,35608.26185
2024-09-20,11097.02414
2024-09-21,6425.009163
2024-09-22,19746.36053
2024-09-23,40630.74793
2024-09-24,39864.06038
2024-09-25,35604.26738
2024-09-26,34677.08493
2024-09-27,38400.96188
2024-09-28,36641.72075
2024-09-29,39563.07053
2024-09-30,42500.56767
2024-10-01,17058.25569
2024-10-02,40884.96223
2024-10-03,18295.69179
2024-10-04,45148.86453
2024-10-05,40025.30399
2024-10-06,10874.42878
2024-10-07,16187.07319
2024-10-08,32555.40685
2024-10-09,32510.15675
2024-10-10,33955.24763
2024-10-11,38720.34647
2024-10-12,38696.35128
2024-10-13,27422.12722
2024-10-14,7783.182046
2024-10-15,9957.486786
2024-10-16,31161.69477
2024-10-17,27474.05748
2024-10-18,8818.460874
2024-10-19,12079.81427
2024-10-20,29826.17931
2024-10-21,16947.2532
2024-10-22,5574.234105
2024-10-23,29625.88987
2024-10-24,41439.05531
2024-10-25,28729.08203
2024-10-26,34821.19902
2024-10-27,10732.88423
2024-10-28,18022.45181
2024-10-29,24045.84946
2024-10-30,36114.46426
2024-10-31,31751.02328
2024-11-01,4077.102198
2024-11-02,26397.7235
2024-11-03,34188.75486
2024-11-04,24503.33893
2024-11-05,33282.04531
2024-11-06,38904.0008
2024-11-07,37201.93012
2024-11-08,29535.77812
2024-11-09,28432.68885
2024-11-10,16008.06366
2024-11-11,33374.84006
2024-11-12,31118.16091
2024-11-13,30062.42048
2024-11-14,17613.27673
2024-11-15,14483.17273
2024-11-16,24252.05956
2024-11-17,12625.72353
2024-11-18,37844.765
2024-11-19,24489.78749
2024-11-20,21612.59684
2024-11-21,21146.97895
2024-11-22,32083.21243
2024-11-23,30767.96809
2024-11-24,29523.95557
2024-11-25,23397.6593
2024-11-26,16053.10658
2024-11-27,9887.194584
2024-11-28,12941.83213
2024-11-29,14519.92315
2024-11-30,24020.8786
2024-12-01,17015.82554
2024-12-02,23897.73964
2024-12-03,28011.90643
2024-12-04,28335.36698
2024-12-05,23039.11723
2024-12-06,25391.95463
2024-12-07,17821.71231
2024-12-08,26230.8718
2024-12-09,20786.35443
2024-12-10,29637.98504
2024-12-11,22365.88057
2024-12-12,28739.87892
2024-12-13,13796.9615
2024-12-14,20769.76215
2024-12-15,11177.03832
2024-12-16,20356.65047
2024-12-17,27424.3311
2024-12-18,20748.67584
2024-12-19,31612.52367
2024-12-20,12799.36874
2024-12-21,10322.44191
2024-12-22,24529.19302
2024-12-23,24720.29942
2024-12-24,30328.11905
2024-12-25,19233.17463
2024-12-26,23336.98217
2024-12-27,24568.6479
2024-12-28,18456.56373
2024-12-29,26049.83679
2024-12-30,17734.39445
2024-12-31,33041.52425
